t,Ekin,Epot,Etot
0.0000000000,0.0000000000,0.3454140573,0.3454140573
0.0001666667,0.0000654492,0.3453477785,0.3454132277
0.0003333333,0.0002552762,0.3451514750,0.3454067512
0.0005000000,0.0005600410,0.3448285469,0.3453885879
0.0006666667,0.0009707455,0.3443824160,0.3453531615
0.0008333333,0.0014788175,0.3438165201,0.3452953376
0.0010000000,0.0020760956,0.3431343070,0.3452104026
0.0011666667,0.0027548142,0.3423392292,0.3450940435
0.0013333333,0.0035075892,0.3414347391,0.3449423284
0.0015000000,0.0043274038,0.3404242839,0.3447516876
0.0016666667,0.0052075947,0.3393113010,0.3445188957
0.0018333333,0.0061418397,0.3380992142,0.3442410539
0.0020000000,0.0071241437,0.3367914294,0.3439155732
0.0021666667,0.0081488276,0.3353913311,0.3435401586
0.0023333333,0.0092105150,0.3339022784,0.3431127933
0.0025000000,0.0103041214,0.3323276024,0.3426317237
0.0026666667,0.0114248424,0.3306706028,0.3420954452
0.0028333333,0.0125681431,0.3289345451,0.3415026882
0.0030000000,0.0137297470,0.3271226580,0.3408524051
0.0031666667,0.0149056262,0.3252381311,0.3401437573
0.0033333333,0.0160919908,0.3232841125,0.3393761033
0.0035000000,0.0172852799,0.3212637065,0.3385489864
0.0036666667,0.0184821517,0.3191799725,0.3376621242
0.0038333333,0.0196794749,0.3170359223,0.3367153972
0.0040000000,0.0208743193,0.3148345193,0.3357088385
0.0041666667,0.0220639480,0.3125786764,0.3346426244
0.0043333333,0.0232458088,0.3102712556,0.3335170644
0.0045000000,0.0244175261,0.3079150659,0.3323325920
0.0046666667,0.0255768938,0.3055128629,0.3310897567
0.0048333333,0.0267218672,0.3030673477,0.3297892150
0.0050000000,0.0278505563,0.3005811664,0.3284317227
0.0051666667,0.0289612186,0.2980569087,0.3270181273
0.0053333333,0.0300522525,0.2954971085,0.3255493610
0.0055000000,0.0311221908,0.2929042424,0.3240264332
0.0056666667,0.0321696946,0.2902807299,0.3224504245
0.0058333333,0.0331935469,0.2876289329,0.3208224798
0.0060000000,0.0341926471,0.2849511559,0.3191438029
0.0061666667,0.0351660052,0.2822496453,0.3174156506
0.0063333333,0.0361127368,0.2795265901,0.3156393269
0.0065000000,0.0370320570,0.2767841214,0.3138161784
0.0066666667,0.0379232764,0.2740243127,0.3119475891
0.0068333333,0.0387857954,0.2712491801,0.3100349755
0.0070000000,0.0396191000,0.2684606828,0.3080797828
0.0071666667,0.0404227571,0.2656607230,0.3060834801
0.0073333333,0.0411964103,0.2628511466,0.3040475569
0.0075000000,0.0419397757,0.2600337434,0.3019735191
