t,e1,e2,e3,b1,b2,b3,d1,d2,d3
0.0073333333,0.0000003052,0.0000000000,0.0000002980,0.0000027155,0.0000000000,-0.0000026582,0.0011015678,0.0000000000,-0.0010627141
0.0075000000,0.0000003333,0.0000000000,0.0000003251,0.0000029031,0.0000000000,-0.0000028391,0.0011510285,0.0000000000,-0.0011085680
0.0076666667,0.0000003633,0.0000000000,0.0000003540,0.0000030991,0.0000000000,-0.0000030277,0.0012014943,0.0000000000,-0.0011551852
0.0078333333,0.0000003952,0.0000000000,0.0000003846,0.0000033036,0.0000000000,-0.0000032242,0.0012529583,0.0000000000,-0.0012025484
0.0080000000,0.0000004291,0.0000000000,0.0000004171,0.0000035168,0.0000000000,-0.0000034286,0.0013054134,0.0000000000,-0.0012506404
0.0081666667,0.0000004651,0.0000000000,0.0000004516,0.0000037388,0.0000000000,-0.0000036410,0.0013588523,0.0000000000,-0.0012994434
0.0083333333,0.0000005032,0.0000000000,0.0000004880,0.0000039697,0.0000000000,-0.0000038617,0.0014132676,0.0000000000,-0.0013489395
0.0085000000,0.0000005436,0.0000000000,0.0000005265,0.0000042099,0.0000000000,-0.0000040907,0.0014686518,0.0000000000,-0.0013991104
0.0086666667,0.0000005863,0.0000000000,0.0000005672,0.0000044593,0.0000000000,-0.0000043281,0.0015249972,0.0000000000,-0.0014499376
0.0088333333,0.0000006314,0.0000000000,0.0000006100,0.0000047182,0.0000000000,-0.0000045740,0.0015822960,0.0000000000,-0.0015014023
0.0090000000,0.0000006790,0.0000000000,0.0000006551,0.0000049867,0.0000000000,-0.0000048285,0.0016405404,0.0000000000,-0.0015534854
0.0091666667,0.0000007291,0.0000000000,0.0000007025,0.0000052650,0.0000000000,-0.0000050918,0.0016997221,0.0000000000,-0.0016061677
0.0093333333,0.0000007819,0.0000000000,0.0000007523,0.0000055533,0.0000000000,-0.0000053639,0.0017598331,0.0000000000,-0.0016594295
0.0095000000,0.0000008373,0.0000000000,0.0000008045,0.0000058516,0.0000000000,-0.0000056450,0.0018208649,0.0000000000,-0.0017132510
0.0096666667,0.0000008956,0.0000000000,0.0000008593,0.0000061602,0.0000000000,-0.0000059350,0.0018828091,0.0000000000,-0.0017676121
0.0098333333,0.0000009568,0.0000000000,0.0000009166,0.0000064793,0.0000000000,-0.0000062342,0.0019456571,0.0000000000,-0.0018224925
0.0100000000,0.0000010209,0.0000000000,0.0000009766,0.0000068088,0.0000000000,-0.0000065425,0.0020094002,0.0000000000,-0.0018778717
0.0101666667,0.0000010880,0.0000000000,0.0000010393,0.0000071491,0.0000000000,-0.0000068601,0.0020740296,0.0000000000,-0.0019337290
0.0103333333,0.0000011583,0.0000000000,0.0000011047,0.0000075001,0.0000000000,-0.0000071871,0.0021395361,0.0000000000,-0.0019900432
0.0105000000,0.0000012318,0.0000000000,0.0000011730,0.0000078622,0.0000000000,-0.0000075235,0.0022059108,0.0000000000,-0.0020467932
0.0106666667,0.0000013085,0.0000000000,0.0000012441,0.0000082354,0.0000000000,-0.0000078694,0.0022731444,0.0000000000,-0.0021039576
