0,0
0.00333333,6.03576e-09
0.00666667,9.55496e-09
0.01,2.44224e-10
0.0133333,-7.57515e-09
0.0166667,-7.81082e-11
0.02,7.29535e-09
0.0233333,1.32249e-08
0.0266667,5.63326e-09
0.03,3.35046e-09
0.0333333,-1.89867e-09
0.0366667,4.3771e-09
0.04,1.54091e-08
0.0433333,1.3932e-08
0.0466667,6.86706e-09
0.05,5.17278e-09
0.0533333,5.66929e-09
0.0566667,1.07583e-08
0.06,1.63972e-08
0.0633333,1.4975e-08
0.0666667,1.22981e-08
0.07,7.31505e-09
0.0733333,1.3914e-08
0.0766667,1.25237e-08
0.08,1.60507e-08
0.0833333,1.83867e-08
0.0866667,1.80344e-08
0.09,1.54714e-08
0.0933333,1.34844e-08
0.0966667,1.27444e-08
0.1,1.7764e-08
0.103333,2.40243e-08
0.106667,2.52691e-08
0.11,2.04819e-08
0.113333,1.07595e-08
0.116667,1.28281e-08
0.12,2.13497e-08
0.123333,3.22671e-08
0.126667,2.86074e-08
0.13,2.07745e-08
0.133333,1.32946e-08
0.136667,1.51572e-08
0.14,2.44017e-08
0.143333,3.35081e-08
0.146667,3.09115e-08
0.15,2.22311e-08
0.153333,2.20596e-08
0.156667,2.07293e-08
0.16,1.96414e-08
0.163333,2.77932e-08
0.166667,3.28993e-08
0.17,3.33921e-08
0.173333,3.03383e-08
0.176667,2.25684e-08
0.18,1.59908e-08
0.183333,1.94786e-08
0.186667,3.48688e-08
0.19,4.21096e-08
0.193333,3.38167e-08
0.196667,2.74207e-08
0.2,2.02181e-08
0.203333,1.93035e-08
0.206667,2.79131e-08
0.21,3.08997e-08
0.213333,3.96661e-08
0.216667,3.8248e-08
0.22,3.42968e-08
0.223333,2.40704e-08
0.226667,1.67488e-08
0.23,1.78808e-08
0.233333,3.31578e-08
0.236667,4.43848e-08
0.24,4.22576e-08
0.243333,3.40521e-08
0.246667,2.78989e-08
0.25,2.09139e-08
0.253333,1.60426e-08
0.256667,2.32832e-08
0.26,3.4328e-08
0.263333,4.37299e-08
0.266667,4.68169e-08
0.27,3.9503e-08
0.273333,2.09382e-08
0.276667,1.42068e-08
0.28,1.59065e-08
0.283333,2.18167e-08
0.286667,3.36871e-08
0.29,4.10617e-08
0.293333,4.97373e-08
0.296667,4.62437e-08
0.3,2.48637e-08
0.303333,1.23826e-08
0.306667,7.72228e-09
0.31,1.36758e-08
0.313333,2.08991e-08
0.316667,3.83364e-08
0.32,4.86345e-08
0.323333,5.22931e-08
0.326667,4.25133e-08
0.33,2.46102e-08
0.333333,6.69515e-09
0.336667,-2.35628e-09
0.34,1.84973e-09
0.343333,1.34408e-08
0.346667,2.91916e-08
0.35,4.834e-08
0.353333,5.89673e-08
0.356667,5.70829e-08
0.36,3.58165e-08
0.363333,1.3157e-08
0.366667,-1.55129e-09
0.37,-1.59653e-08
0.373333,-2.17736e-08
0.376667,-4.07549e-09
0.38,2.17929e-08
0.383333,4.77822e-08
0.386667,6.44482e-08
0.39,7.0347e-08
0.393333,6.66242e-08
0.396667,4.43052e-08
0.4,6.96192e-09
0.403333,-2.45825e-08
0.406667,-4.37569e-08
0.41,-5.83745e-08
0.413333,-4.94109e-08
0.416667,-2.44248e-08
0.42,1.36312e-08
0.423333,5.90344e-08
0.426667,9.32857e-08
0.43,1.18484e-07
0.433333,1.26239e-07
0.436667,1.08052e-07
0.44,6.85777e-08
0.443333,1.46688e-08
0.446667,-4.93593e-08
