t,e1,e2,e3,b1,b2,b3,d1,d2,d3
0.5088333333,0.0006643277,0.0000191769,0.0000001032,0.0015759759,-0.0000710970,-0.0000018897,-0.0143557168,-0.0075335980,-0.0006173548
0.5090000000,0.0006643965,0.0000192448,0.0000001110,0.0015735609,-0.0000723502,-0.0000019944,-0.0146242439,-0.0075044594,-0.0006393262
0.5091666667,0.0006644678,0.0000193136,0.0000001192,0.0015711012,-0.0000735985,-0.0000021028,-0.0148925427,-0.0074748262,-0.0006615918
0.5093333333,0.0006645418,0.0000193833,0.0000001279,0.0015685967,-0.0000748418,-0.0000022150,-0.0151606056,-0.0074447012,-0.0006841455
0.5095000000,0.0006646184,0.0000194540,0.0000001370,0.0015660476,-0.0000760800,-0.0000023309,-0.0154284249,-0.0074140873,-0.0007069810
0.5096666667,0.0006646976,0.0000195256,0.0000001466,0.0015634539,-0.0000773131,-0.0000024506,-0.0156959932,-0.0073829871,-0.0007300919
0.5098333333,0.0006647796,0.0000195981,0.0000001566,0.0015608156,-0.0000785410,-0.0000025742,-0.0159633026,-0.0073514037,-0.0007534718
0.5100000000,0.0006648643,0.0000196715,0.0000001672,0.0015581328,-0.0000797636,-0.0000027018,-0.0162303457,-0.0073193399,-0.0007771142
0.5101666667,0.0006649519,0.0000197458,0.0000001782,0.0015554055,-0.0000809808,-0.0000028333,-0.0164971148,-0.0072867987,-0.0008010125
0.5103333333,0.0006650422,0.0000198209,0.0000001898,0.0015526338,-0.0000821925,-0.0000029688,-0.0167636024,-0.0072537831,-0.0008251601
0.5105000000,0.0006651355,0.0000198968,0.0000002019,0.0015498177,-0.0000833987,-0.0000031083,-0.0170298007,-0.0072202962,-0.0008495501
0.5106666667,0.0006652317,0.0000199736,0.0000002145,0.0015469572,-0.0000845993,-0.0000032520,-0.0172957023,-0.0071863410,-0.0008741759
0.5108333333,0.0006653309,0.0000200511,0.0000002277,0.0015440524,-0.0000857942,-0.0000033997,-0.0175612995,-0.0071519208,-0.0008990305
0.5110000000,0.0006654331,0.0000201294,0.0000002415,0.0015411034,-0.0000869833,-0.0000035516,-0.0178265846,-0.0071170386,-0.0009241069
0.5111666667,0.0006655383,0.0000202085,0.0000002559,0.0015381102,-0.0000881665,-0.0000037078,-0.0180915503,-0.0070816978,-0.0009493982
0.5113333333,0.0006656466,0.0000202883,0.0000002708,0.0015350729,-0.0000893438,-0.0000038681,-0.0183561887,-0.0070459015,-0.0009748973
0.5115000000,0.0006657580,0.0000203688,0.0000002864,0.0015319915,-0.0000905152,-0.0000040327,-0.0186204925,-0.0070096531,-0.0010005970
0.5116666667,0.0006658727,0.0000204500,0.0000003026,0.0015288661,-0.0000916804,-0.0000042016,-0.0188844539,-0.0069729559,-0.0010264902
0.5118333333,0.0006659905,0.0000205319,0.0000003195,0.0015256967,-0.0000928395,-0.0000043749,-0.0191480655,-0.0069358133,-0.0010525694
0.5120000000,0.0006661116,0.0000206145,0.0000003370,0.0015224834,-0.0000939923,-0.0000045525,-0.0194113195,-0.0068982288,-0.0010788276
0.5121666667,0.0006662359,0.0000206977,0.0000003552,0.0015192262,-0.0000951389,-0.0000047345,-0.0196742086,-0.0068602057,-0.0011052572
0.5123333333,0.0006663636,0.0000207815,0.0000003740,0.0015159253,-0.0000962791,-0.0000049209,-0.0199367252,-0.0068217477,-0.0011318508
0.5125000000,0.0006664946,0.0000208659,0.0000003936,0.0015125807,-0.0000974128,-0.0000051118,-0.0201988616,-0.0067828582,-0.0011586009
0.5126666667,0.0006666291,0.0000209510,0.0000004139,0.0015091924,-0.0000985400,-0.0000053071,-0.0204606103,-0.0067435409,-0.0011855000
0.5128333333,0.0006667669,0.0000210365,0.0000004349,0.0015057605,-0.0000996607,-0.0000055070,-0.0207219638,-0.0067037993,-0.0012125406
0.5130000000,0.0006669083,0.0000211227,0.0000004566,0.0015022850,-0.0001007746,-0.0000057113,-0.0209829147,-0.0066636372,-0.0012397149
0.5131666667,0.0006670531,0.0000212093,0.0000004791,0.0014987662,-0.0001018819,-0.0000059202,-0.0212434552,-0.0066230582,-0.0012670154
0.5133333333,0.0006672015,0.0000212964,0.0000005024,0.0014952039,-0.0001029823,-0.0000061336,-0.0215035780,-0.0065820660,-0.0012944342
0.5135000000,0.0006673535,0.0000213841,0.0000005265,0.0014915983,-0.0001040759,-0.0000063517,-0.0217632755,-0.0065406645,-0.0013219636
0.5136666667,0.0006675091,0.0000214721,0.0000005513,0.0014879495,-0.0001051625,-0.0000065743,-0.0220225402,-0.0064988573,-0.0013495959
0.5138333333,0.0006676684,0.0000215607,0.0000005770,0.0014842574,-0.0001062422,-0.0000068015,-0.0222813646,-0.0064566485,-0.0013773232
0.5140000000,0.0006678313,0.0000216496,0.0000006034,0.0014805223,-0.0001073147,-0.0000070334,-0.0225397412,-0.0064140418,-0.0014051375
0.5141666667,0.0006679980,0.0000217389,0.0000006307,0.0014767442,-0.0001083802,-0.0000072699,-0.0227976626,-0.0063710412,-0.0014330311
0.5143333333,0.0006681684,0.0000218287,0.0000006589,0.0014729231,-0.0001094384,-0.0000075111,-0.0230551212,-0.0063276506,-0.0014609959
0.5145000000,0.0006683426,0.0000219187,0.0000006879,0.0014690592,-0.0001104894,-0.0000077569,-0.0233121097,-0.0062838740,-0.0014890241
0.5146666667,0.0006685206,0.0000220091,0.0000007177,0.0014651524,-0.0001115331,-0.0000080074,-0.0235686205,-0.0062397154,-0.0015171076
0.5148333333,0.0006687025,0.0000220998,0.0000007485,0.0014612030,-0.0001125693,-0.0000082626,-0.0238246461,-0.0061951789,-0.0015452383
0.5150000000,0.0006688882,0.0000221908,0.0000007801,0.0014572109,-0.0001135981,-0.0000085225,-0.0240801793,-0.0061502686,-0.0015734083
0.5151666667,0.0006690779,0.0000222821,0.0000008127,0.0014531762,-0.0001146194,-0.0000087871,-0.0243352124,-0.0061049885,-0.0016016095
0.5153333333,0.0006692715,0.0000223736,0.0000008462,0.0014490991,-0.0001156331,-0.0000090564,-0.0245897381,-0.0060593428,-0.0016298338
0.5155000000,0.0006694691,0.0000224654,0.0000008806,0.0014449796,-0.0001166392,-0.0000093304,-0.0248437491,-0.0060133358,-0.0016580731
0.5156666667,0.0006696708,0.0000225573,0.0000009159,0.0014408179,-0.0001176376,-0.0000096091,-0.0250972378,-0.0059669715,-0.0016863193
0.5158333333,0.0006698764,0.0000226495,0.0000009522,0.0014366139,-0.0001186282,-0.0000098925,-0.0253501969,-0.0059202543,-0.0017145643
