t,Ekin,Epot,Etot
0.0165000000,0.0771768532,0.1000183475,0.1771952006
0.0166666667,0.0763751830,0.1008203684,0.1771955514
0.0168333333,0.0755632609,0.1016326911,0.1771959520
0.0170000000,0.0747474965,0.1024489061,0.1771964026
0.0171666667,0.0739350990,0.1032618039,0.1771969028
0.0173333333,0.0731340690,0.1040633822,0.1771974512
0.0175000000,0.0723531768,0.1048448687,0.1771980455
0.0176666667,0.0716019245,0.1055967579,0.1771986824
0.0178333333,0.0708904930,0.1063088644,0.1771993574
0.0180000000,0.0702296718,0.1069703934,0.1772000652
0.0181666667,0.0696307714,0.1075700276,0.1772007990
0.0183333333,0.0691055184,0.1080960329,0.1772015514
0.0185000000,0.0686659333,0.1085363803,0.1772023135
0.0186666667,0.0683241908,0.1088788849,0.1772030758
0.0188333333,0.0680924658,0.1091113617,0.1772038275
0.0190000000,0.0679827631,0.1092217942,0.1772045573
0.0191666667,0.0680067361,0.1091985171,0.1772052532
0.0193333333,0.0681754942,0.1090304085,0.1772059027
0.0195000000,0.0684994024,0.1087070904,0.1772064928
0.0196666667,0.0689878767,0.1082191340,0.1772070107
0.0198333333,0.0696491782,0.1075582654,0.1772074436
0.0200000000,0.0704902086,0.1067175706,0.1772077792
0.0201666667,0.0715163134,0.1056916922,0.1772080056
0.0203333333,0.0727310944,0.1044770178,0.1772081122
0.0205000000,0.0741362375,0.1030718517,0.1772080892
0.0206666667,0.0757313586,0.1014765699,0.1772079285
0.0208333333,0.0775138734,0.0996937501,0.1772076235
0.0210000000,0.0794788928,0.0977282768,0.1772071697
0.0211666667,0.0816191498,0.0955874146,0.1772065644
0.0213333333,0.0839249590,0.0932808484,0.1772058074
0.0215000000,0.0863842132,0.0908206877,0.1772049009
0.0216666667,0.0889824182,0.0882214314,0.1772038496
0.0218333333,0.0917027668,0.0854998937,0.1772026606
0.0220000000,0.0945262547,0.0826750890,0.1772013436
0.0221666667,0.0974318352,0.0797680758,0.1771999110
0.0223333333,0.1003966151,0.0768017621,0.1771983772
0.0225000000,0.1033960871,0.0738006719,0.1771967590
0.0226666667,0.1064043984,0.0707906769,0.1771950753
0.0228333333,0.1093946502,0.0677986963,0.1771933465
