t,e1,e2,e3,b1,b2,b3,d1,d2,d3
0.0065000000,0.0000000181,0.0000000652,0.0000001220,0.0000005859,0.0000011075,0.0000015085,0.0002687136,0.0005057728,0.0006839988
0.0066666667,0.0000000200,0.0000000720,0.0000001347,0.0000006318,0.0000011939,0.0000016253,0.0002824140,0.0005312659,0.0007178095
0.0068333333,0.0000000221,0.0000000793,0.0000001483,0.0000006801,0.0000012846,0.0000017478,0.0002964351,0.0005573255,0.0007523031
0.0070000000,0.0000000243,0.0000000871,0.0000001628,0.0000007306,0.0000013797,0.0000018761,0.0003107750,0.0005839458,0.0007874669
0.0071666667,0.0000000266,0.0000000955,0.0000001784,0.0000007836,0.0000014793,0.0000020103,0.0003254317,0.0006111208,0.0008232882
0.0073333333,0.0000000291,0.0000001045,0.0000001951,0.0000008391,0.0000015834,0.0000021505,0.0003404032,0.0006388446,0.0008597538
0.0075000000,0.0000000318,0.0000001141,0.0000002128,0.0000008971,0.0000016922,0.0000022969,0.0003556874,0.0006671109,0.0008968504
0.0076666667,0.0000000347,0.0000001243,0.0000002317,0.0000009577,0.0000018058,0.0000024495,0.0003712822,0.0006959134,0.0009345644
0.0078333333,0.0000000377,0.0000001351,0.0000002517,0.0000010209,0.0000019242,0.0000026084,0.0003871854,0.0007252457,0.0009728821
0.0080000000,0.0000000410,0.0000001467,0.0000002730,0.0000010867,0.0000020475,0.0000027738,0.0004033949,0.0007551011,0.0010117893
0.0081666667,0.0000000444,0.0000001589,0.0000002956,0.0000011553,0.0000021759,0.0000029457,0.0004199085,0.0007854731,0.0010512718
0.0083333333,0.0000000481,0.0000001719,0.0000003194,0.0000012267,0.0000023093,0.0000031242,0.0004367237,0.0008163547,0.0010913150
0.0085000000,0.0000000519,0.0000001856,0.0000003446,0.0000013009,0.0000024480,0.0000033094,0.0004538384,0.0008477391,0.0011319041
0.0086666667,0.0000000560,0.0000002001,0.0000003712,0.0000013780,0.0000025919,0.0000035015,0.0004712501,0.0008796192,0.0011730241
0.0088333333,0.0000000603,0.0000002153,0.0000003992,0.0000014580,0.0000027412,0.0000037004,0.0004889564,0.0009119878,0.0012146600
0.0090000000,0.0000000648,0.0000002315,0.0000004288,0.0000015410,0.0000028959,0.0000039064,0.0005069549,0.0009448376,0.0012567961
0.0091666667,0.0000000696,0.0000002484,0.0000004598,0.0000016270,0.0000030562,0.0000041194,0.0005252430,0.0009781613,0.0012994169
0.0093333333,0.0000000747,0.0000002663,0.0000004924,0.0000017161,0.0000032220,0.0000043395,0.0005438183,0.0010119513,0.0013425066
0.0095000000,0.0000000800,0.0000002850,0.0000005266,0.0000018083,0.0000033935,0.0000045669,0.0005626782,0.0010461999,0.0013860491
0.0096666667,0.0000000855,0.0000003047,0.0000005624,0.0000019036,0.0000035707,0.0000048015,0.0005818200,0.0010808995,0.0014300282
0.0098333333,0.0000000914,0.0000003253,0.0000006000,0.0000020022,0.0000037538,0.0000050435,0.0006012411,0.0011160421,0.0014744274
0.0100000000,0.0000000975,0.0000003469,0.0000006392,0.0000021040,0.0000039427,0.0000052930,0.0006209388,0.0011516198,0.0015192302
0.0101666667,0.0000001039,0.0000003695,0.0000006802,0.0000022092,0.0000041376,0.0000055500,0.0006409104,0.0011876245,0.0015644196
0.0103333333,0.0000001106,0.0000003931,0.0000007231,0.0000023177,0.0000043386,0.0000058145,0.0006611530,0.0012240480,0.0016099788
0.0105000000,0.0000001176,0.0000004178,0.0000007677,0.0000024296,0.0000045457,0.0000060866,0.0006816639,0.0012608820,0.0016558905
0.0106666667,0.0000001250,0.0000004436,0.0000008143,0.0000025449,0.0000047589,0.0000063664,0.0007024402,0.0012981182,0.0017021375
0.0108333333,0.0000001326,0.0000004705,0.0000008628,0.0000026637,0.0000049784,0.0000066540,0.0007234791,0.0013357479,0.0017487022
0.0110000000,0.0000001406,0.0000004985,0.0000009132,0.0000027861,0.0000052041,0.0000069493,0.0007447775,0.0013737627,0.0017955670
0.0111666667,0.0000001489,0.0000005277,0.0000009657,0.0000029120,0.0000054363,0.0000072525,0.0007663325,0.0014121538,0.0018427141
0.0113333333,0.0000001576,0.0000005581,0.0000010201,0.0000030415,0.0000056749,0.0000075636,0.0007881412,0.0014509124,0.0018901255
0.0115000000,0.0000001666,0.0000005896,0.0000010767,0.0000031747,0.0000059199,0.0000078826,0.0008102004,0.0014900296,0.0019377832
0.0116666667,0.0000001760,0.0000006224,0.0000011353,0.0000033116,0.0000061715,0.0000082095,0.0008325071,0.0015294964,0.0019856688
0.0118333333,0.0000001857,0.0000006565,0.0000011961,0.0000034522,0.0000064298,0.0000085444,0.0008550582,0.0015693038,0.0020337641
0.0120000000,0.0000001958,0.0000006918,0.0000012591,0.0000035966,0.0000066946,0.0000088874,0.0008778505,0.0016094424,0.0020820506
0.0121666667,0.0000002064,0.0000007284,0.0000013242,0.0000037448,0.0000069662,0.0000092385,0.0009008808,0.0016499031,0.0021305095
0.0123333333,0.0000002173,0.0000007664,0.0000013916,0.0000038969,0.0000072446,0.0000095976,0.0009241460,0.0016906766,0.0021791222
0.0125000000,0.0000002286,0.0000008057,0.0000014613,0.0000040529,0.0000075298,0.0000099648,0.0009476427,0.0017317532,0.0022278698
0.0126666667,0.0000002403,0.0000008464,0.0000015332,0.0000042128,0.0000078219,0.0000103402,0.0009713677,0.0017731235,0.0022767333
