t,Ekin,Epot,Etot
0.2115000000,0.0001920640,0.0002156625,0.0004077265
0.2116666667,0.0001969983,0.0002117052,0.0004087035
0.2118333333,0.0002019588,0.0002077430,0.0004097018
0.2120000000,0.0002069434,0.0002037782,0.0004107216
0.2121666667,0.0002119498,0.0001998137,0.0004117635
0.2123333333,0.0002169758,0.0001958522,0.0004128280
0.2125000000,0.0002220193,0.0001918963,0.0004139156
0.2126666667,0.0002270780,0.0001879484,0.0004150264
0.2128333333,0.0002321499,0.0001840108,0.0004161607
0.2130000000,0.0002372326,0.0001800859,0.0004173186
0.2131666667,0.0002423242,0.0001761764,0.0004185006
0.2133333333,0.0002474222,0.0001722847,0.0004197069
0.2135000000,0.0002525247,0.0001684129,0.0004209375
0.2136666667,0.0002576292,0.0001645629,0.0004221921
0.2138333333,0.0002627338,0.0001607363,0.0004234701
0.2140000000,0.0002678361,0.0001569349,0.0004247710
0.2141666667,0.0002729339,0.0001531604,0.0004260943
0.2143333333,0.0002780251,0.0001494145,0.0004274396
0.2145000000,0.0002831074,0.0001456987,0.0004288062
0.2146666667,0.0002881787,0.0001420147,0.0004301934
0.2148333333,0.0002932365,0.0001383645,0.0004316010
0.2150000000,0.0002982786,0.0001347505,0.0004330292
0.2151666667,0.0003033029,0.0001311758,0.0004344787
0.2153333333,0.0003083071,0.0001276435,0.0004359506
0.2155000000,0.0003132890,0.0001241562,0.0004374453
0.2156666667,0.0003182465,0.0001207166,0.0004389631
0.2158333333,0.0003231774,0.0001173265,0.0004405039
0.2160000000,0.0003280795,0.0001139878,0.0004420673
0.2161666667,0.0003329505,0.0001107022,0.0004436528
0.2163333333,0.0003377884,0.0001074711,0.0004452595
0.2165000000,0.0003425910,0.0001042955,0.0004468865
0.2166666667,0.0003473561,0.0001011765,0.0004485325
0.2168333333,0.0003520816,0.0000981152,0.0004501967
0.2170000000,0.0003567654,0.0000951134,0.0004518788
0.2171666667,0.0003614054,0.0000921736,0.0004535790
0.2173333333,0.0003659995,0.0000892983,0.0004552978
0.2175000000,0.0003705457,0.0000864897,0.0004570354
0.2176666667,0.0003750420,0.0000837498,0.0004587918
0.2178333333,0.0003794863,0.0000810805,0.0004605668
0.2180000000,0.0003838767,0.0000784837,0.0004623604
0.2181666667,0.0003882113,0.0000759612,0.0004641725
0.2183333333,0.0003924880,0.0000735148,0.0004660028
0.2185000000,0.0003967049,0.0000711458,0.0004678507
0.2186666667,0.0004008601,0.0000688551,0.0004697152
0.2188333333,0.0004049517,0.0000666436,0.0004715953
0.2190000000,0.0004089778,0.0000645122,0.0004734899
0.2191666667,0.0004129367,0.0000624618,0.0004753985
0.2193333333,0.0004168267,0.0000604935,0.0004773202
0.2195000000,0.0004206459,0.0000586083,0.0004792543
0.2196666667,0.0004243927,0.0000568071,0.0004811998
0.2198333333,0.0004280654,0.0000550909,0.0004831563
0.2200000000,0.0004316622,0.0000534613,0.0004851235
0.2201666667,0.0004351817,0.0000519200,0.0004871017
0.2203333333,0.0004386221,0.0000504688,0.0004890909
0.2205000000,0.0004419820,0.0000491088,0.0004910908
0.2206666667,0.0004452598,0.0000478404,0.0004931002
0.2208333333,0.0004484539,0.0000466634,0.0004951174
0.2210000000,0.0004515631,0.0000455776,0.0004971406
0.2211666667,0.0004545858,0.0000445824,0.0004991683
0.2213333333,0.0004575209,0.0000436777,0.0005011986
0.2215000000,0.0004603668,0.0000428631,0.0005032299
0.2216666667,0.0004631224,0.0000421387,0.0005052610
0.2218333333,0.0004657862,0.0000415046,0.0005072908
0.2220000000,0.0004683572,0.0000409620,0.0005093192
0.2221666667,0.0004708342,0.0000405121,0.0005113462
0.2223333333,0.0004732160,0.0000401561,0.0005133721
0.2225000000,0.0004755016,0.0000398946,0.0005153962
0.2226666667,0.0004776900,0.0000397275,0.0005174175
0.2228333333,0.0004797800,0.0000396542,0.0005194343
0.2230000000,0.0004817708,0.0000396744,0.0005214452
0.2231666667,0.0004836613,0.0000397879,0.0005234492
0.2233333333,0.0004854508,0.0000399947,0.0005254455
0.2235000000,0.0004871383,0.0000402951,0.0005274334
