t,Ekin,Epot,Etot
0.4723333333,0.0000309899,0.0001626100,0.0001935999
0.4725000000,0.0000310238,0.0001634793,0.0001945031
0.4726666667,0.0000310822,0.0001643263,0.0001954085
0.4728333333,0.0000311657,0.0001651501,0.0001963158
0.4730000000,0.0000312746,0.0001659504,0.0001972250
0.4731666667,0.0000314094,0.0001667270,0.0001981364
0.4733333333,0.0000315705,0.0001674797,0.0001990502
0.4735000000,0.0000317584,0.0001682081,0.0001999665
0.4736666667,0.0000319734,0.0001689116,0.0002008849
0.4738333333,0.0000322160,0.0001695894,0.0002018054
0.4740000000,0.0000324867,0.0001702409,0.0002027276
0.4741666667,0.0000327858,0.0001708654,0.0002036512
0.4743333333,0.0000331136,0.0001714622,0.0002045758
0.4745000000,0.0000334705,0.0001720306,0.0002055011
0.4746666667,0.0000338569,0.0001725700,0.0002064268
0.4748333333,0.0000342730,0.0001730795,0.0002073525
0.4750000000,0.0000347193,0.0001735584,0.0002082777
0.4751666667,0.0000351959,0.0001740064,0.0002092023
0.4753333333,0.0000357033,0.0001744234,0.0002101268
0.4755000000,0.0000362418,0.0001748096,0.0002110514
0.4756666667,0.0000368116,0.0001751650,0.0002119766
0.4758333333,0.0000374129,0.0001754891,0.0002129020
0.4760000000,0.0000380460,0.0001757808,0.0002138268
0.4761666667,0.0000387111,0.0001760387,0.0002147498
0.4763333333,0.0000394084,0.0001762619,0.0002156703
0.4765000000,0.0000401381,0.0001764500,0.0002165881
0.4766666667,0.0000409004,0.0001766032,0.0002175036
0.4768333333,0.0000416956,0.0001767218,0.0002184173
0.4770000000,0.0000425236,0.0001768057,0.0002193294
0.4771666667,0.0000433847,0.0001768549,0.0002202396
0.4773333333,0.0000442790,0.0001768688,0.0002211478
0.4775000000,0.0000452066,0.0001768470,0.0002220536
0.4776666667,0.0000461674,0.0001767891,0.0002229566
0.4778333333,0.0000471617,0.0001766946,0.0002238562
0.4780000000,0.0000481894,0.0001765626,0.0002247521
0.4781666667,0.0000492507,0.0001763929,0.0002256435
0.4783333333,0.0000503455,0.0001761851,0.0002265306
0.4785000000,0.0000514737,0.0001759398,0.0002274136
0.4786666667,0.0000526355,0.0001756573,0.0002282928
0.4788333333,0.0000538307,0.0001753378,0.0002291685
0.4790000000,0.0000550592,0.0001749810,0.0002300402
0.4791666667,0.0000563210,0.0001745863,0.0002309073
0.4793333333,0.0000576160,0.0001741534,0.0002317694
0.4795000000,0.0000589441,0.0001736824,0.0002326265
0.4796666667,0.0000603052,0.0001731734,0.0002334785
0.4798333333,0.0000616990,0.0001726263,0.0002343254
0.4800000000,0.0000631255,0.0001720407,0.0002351662
0.4801666667,0.0000645844,0.0001714161,0.0002360005
0.4803333333,0.0000660755,0.0001707525,0.0002368279
0.4805000000,0.0000675985,0.0001700508,0.0002376493
0.4806666667,0.0000691533,0.0001693122,0.0002384655
0.4808333333,0.0000707395,0.0001685375,0.0002392770
0.4810000000,0.0000723570,0.0001677263,0.0002400832
0.4811666667,0.0000740053,0.0001668774,0.0002408827
0.4813333333,0.0000756841,0.0001659899,0.0002416740
0.4815000000,0.0000773931,0.0001650637,0.0002424568
0.4816666667,0.0000791319,0.0001640998,0.0002432317
0.4818333333,0.0000809001,0.0001630997,0.0002439999
0.4820000000,0.0000826974,0.0001620643,0.0002447617
0.4821666667,0.0000845232,0.0001609936,0.0002455169
0.4823333333,0.0000863773,0.0001598873,0.0002462646
0.4825000000,0.0000882591,0.0001587451,0.0002470042
0.4826666667,0.0000901680,0.0001575677,0.0002477357
0.4828333333,0.0000921037,0.0001563558,0.0002484595
0.4830000000,0.0000940655,0.0001551101,0.0002491756
0.4831666667,0.0000960530,0.0001538306,0.0002498836
0.4833333333,0.0000980656,0.0001525172,0.0002505828
0.4835000000,0.0001001028,0.0001511699,0.0002512727
0.4836666667,0.0001021639,0.0001497897,0.0002519535
0.4838333333,0.0001042483,0.0001483777,0.0002526260
0.4840000000,0.0001063554,0.0001469353,0.0002532907
0.4841666667,0.0001084846,0.0001454629,0.0002539475
0.4843333333,0.0001106351,0.0001439608,0.0002545958
0.4845000000,0.0001128063,0.0001424287,0.0002552350
0.4846666667,0.0001149976,0.0001408671,0.0002558647
0.4848333333,0.0001172082,0.0001392767,0.0002564849
0.4850000000,0.0001194373,0.0001376582,0.0002570956
0.4851666667,0.0001216843,0.0001360125,0.0002576969
0.4853333333,0.0001239483,0.0001343403,0.0002582887
0.4855000000,0.0001262286,0.0001326425,0.0002588711
0.4856666667,0.0001285244,0.0001309201,0.0002594445
