t,x,v,Ekin,Epot,Etot
43.500000000004,0.885931807164,0.463815516184,0.107562416527,0.392437583472,0.499999999999
43.505000000004,0.888239800958,0.459380077923,0.105515027996,0.394484972003,0.499999999999
43.510000000004,0.890525588802,0.454933155185,0.103482087843,0.396517912156,0.499999999999
43.515000000004,0.892789113554,0.450474859141,0.101463799359,0.398536200640,0.499999999999
43.520000000004,0.895030318624,0.446005301249,0.099460364371,0.400539635628,0.499999999999
43.525000000004,0.897249147983,0.441524593247,0.097471983221,0.402528016778,0.499999999999
43.530000000004,0.899445546160,0.437032847154,0.095498854746,0.404501145253,0.499999999999
43.535000000004,0.901619458245,0.432530175263,0.093541176256,0.406458823743,0.499999999999
43.540000000004,0.903770829890,0.428016690139,0.091599143519,0.408400856480,0.499999999999
43.545000000004,0.905899607312,0.423492504621,0.089672950735,0.410327049264,0.499999999999
43.550000000004,0.908005737291,0.418957731812,0.087762790522,0.412237209477,0.499999999999
43.555000000004,0.910089167174,0.414412485081,0.085868853896,0.414131146103,0.499999999999
43.560000000004,0.912149844875,0.409856878060,0.083991330247,0.416008669752,0.499999999999
43.565000000004,0.914187718877,0.405291024639,0.082130407326,0.417869592673,0.499999999999
43.570000000004,0.916202738234,0.400715038963,0.080286271225,0.419713728774,0.499999999999
43.575000000004,0.918194852570,0.396129035432,0.078459106356,0.421540893643,0.499999999999
43.580000000004,0.920164012083,0.391533128695,0.076649095433,0.423350904566,0.499999999999
43.585000000004,0.922110167543,0.386927433651,0.074856419456,0.425143580543,0.499999999999
43.590000000004,0.924033270297,0.382312065441,0.073081257691,0.426918742308,0.499999999999
43.595000000004,0.925933272268,0.377687139449,0.071323787653,0.428676212346,0.499999999999
43.600000000004,0.927810125955,0.373052771299,0.069584185087,0.430415814912,0.499999999999
43.605000000004,0.929663784437,0.368409076849,0.067862623952,0.432137376047,0.499999999999
43.610000000004,0.931494201373,0.363756172191,0.066159276403,0.433840723596,0.499999999999
43.615000000004,0.933301331002,0.359094173647,0.064474312774,0.435525687225,0.499999999999
43.620000000004,0.935085128147,0.354423197768,0.062807901558,0.437192098441,0.499999999999
43.625000000004,0.936845548212,0.349743361328,0.061160209396,0.438839790603,0.499999999999
43.630000000004,0.938582547188,0.345054781321,0.059531401056,0.440468598943,0.499999999999
43.635000000004,0.940296081648,0.340357574963,0.057921639417,0.442078360582,0.499999999999
43.640000000004,0.941986108756,0.335651859684,0.056331085455,0.443668914544,0.499999999999
43.645000000004,0.943652586260,0.330937753125,0.054759898222,0.445240101777,0.499999999999
