t,x,v,Ekin,Epot,Etot
20.180000000000,0.237853236134,-0.970274678197,0.470716475575,0.028287080970,0.499003556545
20.185000000000,0.232998911011,-0.971451325584,0.471858838989,0.027144246266,0.499003085255
20.190000000000,0.228138763356,-0.972603686155,0.472978965162,0.026023647673,0.499002612834
20.195000000000,0.223272914676,-0.973731731116,0.474076742091,0.024925397214,0.499002139305
20.200000000000,0.218401486618,-0.974835432276,0.475152060010,0.023849604679,0.499001664688
20.205000000000,0.213524600972,-0.975914762055,0.476204811398,0.022796377610,0.499001189008
20.210000000000,0.208642379662,-0.976969693482,0.477234890991,0.021765821295,0.499000712286
20.215000000000,0.203754944745,-0.978000200196,0.478242195792,0.020758038754,0.499000234546
20.220000000000,0.198862418411,-0.979006256447,0.479226625082,0.019773130728,0.498999755810
20.225000000000,0.193964922973,-0.979987837096,0.480188080428,0.018811195672,0.498999276100
20.230000000000,0.189062580873,-0.980944917616,0.481126465698,0.017872329743,0.498998795441
20.235000000000,0.184155514671,-0.981877474091,0.482041687063,0.016956626792,0.498998313855
20.240000000000,0.179243847045,-0.982785483220,0.482933653014,0.016064178352,0.498997831366
20.245000000000,0.174327700789,-0.983668922315,0.483802274364,0.015195073631,0.498997347996
20.250000000000,0.169407198809,-0.984527769303,0.484647464265,0.014349399504,0.498996863769
20.255000000000,0.164482464118,-0.985362002725,0.485469138207,0.013527240501,0.498996378709
20.260000000000,0.159553619839,-0.986171601737,0.486267214037,0.012728678802,0.498995892838
20.265000000000,0.154620789192,-0.986956546112,0.487041611957,0.011953794225,0.498995406182
20.270000000000,0.149684095501,-0.987716816238,0.487792254540,0.011202664223,0.498994918763
20.275000000000,0.144743662185,-0.988452393122,0.488519066734,0.010475363871,0.498994430605
20.280000000000,0.139799612756,-0.989163258385,0.489221975869,0.009771965863,0.498993941733
20.285000000000,0.134852070817,-0.989849394269,0.489900911668,0.009092540502,0.498993452169
20.290000000000,0.129901160058,-0.990510783633,0.490555806247,0.008437155692,0.498992961939
20.295000000000,0.124947004253,-0.991147409955,0.491186594130,0.007805876936,0.498992471066
20.300000000000,0.119989727257,-0.991759257331,0.491793212250,0.007198767324,0.498991979574
