x,y
0.338756,0.296263
0.338084,0.29682
0.337411,0.297375
0.336736,0.297928
0.33606,0.298481
0.335382,0.299032
0.334703,0.299581
0.334022,0.300129
0.33334,0.300676
0.332656,0.301222
0.33197,0.301766
0.331283,0.302308
0.330595,0.30285
0.329905,0.30339
0.329213,0.303928
0.32852,0.304465
0.327826,0.305001
0.32713,0.305535
0.326432,0.306068
0.325733,0.306599
0.325033,0.307129
0.324331,0.307658
0.323627,0.308185
0.322922,0.308711
0.322215,0.309235
0.321507,0.309758
0.320798,0.31028
0.320087,0.3108
0.319374,0.311318
0.31866,0.311835
0.317944,0.312351
0.317227,0.312865
0.316509,0.313378
0.315789,0.313889
0.315067,0.314399
0.314344,0.314907
0.31362,0.315414
0.312894,0.315919
0.312166,0.316423
0.311438,0.316925
0.310707,0.317426
0.309975,0.317925
0.309242,0.318423
0.308507,0.31892
0.307771,0.319414
0.307033,0.319908
0.306294,0.320399
0.305554,0.32089
0.304811,0.321378
0.304068,0.321865
0.303323,0.322351
0.302577,0.322835
0.301829,0.323318
0.301079,0.323799
0.300329,0.324278
0.299576,0.324756
0.298823,0.325232
0.298068,0.325707
0.297311,0.32618
0.296553,0.326652
0.295794,0.327122
0.295033,0.32759
0.29427,0.328057
0.293507,0.328522
0.292742,0.328986
0.291975,0.329448
0.291207,0.329908
0.290438,0.330367
0.289667,0.330824
0.288895,0.33128
0.288121,0.331734
0.287346,0.332186
0.28657,0.332637
0.285792,0.333086
0.285012,0.333534
0.284232,0.33398
0.28345,0.334424
0.282666,0.334866
0.281881,0.335307
0.281095,0.335747
0.280308,0.336184
0.279519,0.33662
0.278728,0.337054
0.277936,0.337487
0.277143,0.337918
0.276349,0.338347
0.275553,0.338774
0.274755,0.3392
0.273957,0.339624
0.273157,0.340047
0.272355,0.340468
0.271552,0.340887
0.270748,0.341304
0.269943,0.34172
0.269136,0.342133
0.268328,0.342546
0.267518,0.342956
0.266707,0.343365
0.265895,0.343772
0.265081,0.344177
0.264266,0.34458
0.26345,0.344982
0.262632,0.345382
0.261813,0.34578
0.260993,0.346177
0.260171,0.346571
0.259348,0.346964
0.258524,0.347355
0.257698,0.347745
0.256871,0.348132
0.256043,0.348518
0.255214,0.348902
0.254383,0.349284
0.25355,0.349665
0.252717,0.350043
0.251882,0.35042
0.251046,0.350795
0.250209,0.351168
0.24937,0.35154
0.24853,0.351909
0.247688,0.352277
0.246846,0.352643
0.246002,0.353007
0.245157,0.353369
0.24431,0.353729
0.243463,0.354088
0.242614,0.354444
0.241763,0.354799
0.240912,0.355152
0.240059,0.355503
0.239205,0.355852
0.238349,0.356199
0.237493,0.356544
0.236635,0.356888
0.235776,0.35723
0.234915,0.357569
0.234054,0.357907
0.233191,0.358243
0.232327,0.358577
0.231461,0.358909
0.230595,0.359239
0.229727,0.359567
0.228858,0.359894
0.227987,0.360218
0.227116,0.36054
0.226243,0.360861
0.225369,0.361179
0.224494,0.361496
0.223618,0.361811
0.22274,0.362123
0.221861,0.362434
0.220981,0.362743
0.2201,0.363049
0.219217,0.363354
0.218334,0.363657
0.217449,0.363958
0.216563,0.364257
0.215676,0.364553
0.214788,0.364848
0.213898,0.365141
0.213007,0.365432
0.212115,0.365721
0.211222,0.366008
0.210328,0.366292
0.209433,0.366575
0.208536,0.366856
0.207638,0.367134
0.206739,0.367411
0.205839,0.367686
0.204938,0.367958
0.204036,0.368229
0.203133,0.368497
0.202228,0.368764
0.201322,0.369028
0.200415,0.36929
0.199507,0.36955
0.198598,0.369808
0.197688,0.370064
0.196777,0.370318
0.195864,0.37057
0.194951,0.37082
0.194036,0.371067
0.19312,0.371313
0.192203,0.371556
0.191285,0.371797
0.190366,0.372036
0.189446,0.372273
0.188525,0.372508
0.187603,0.372741
0.186679,0.372972
0.185755,0.3732
0.184829,0.373426
0.183903,0.373651
0.182975,0.373873
0.182046,0.374092
0.181116,0.37431
0.180186,0.374525
0.179254,0.374739
0.178321,0.37495
0.177387,0.375159
0.176452,0.375366
0.175516,0.37557
0.174579,0.375772
0.173641,0.375972
0.172701,0.37617
0.171761,0.376366
0.17082,0.37656
0.169878,0.376751
0.168935,0.37694
0.167991,0.377127
0.167046,0.377311
0.166099,0.377493
0.165152,0.377674
0.164204,0.377851
0.163255,0.378027
0.162305,0.3782
0.161354,0.378371
0.160402,0.37854
0.159449,0.378706
0.158495,0.37887
0.15754,0.379032
0.156584,0.379192
0.155627,0.379349
0.154669,0.379504
0.153711,0.379657
0.152751,0.379807
0.151791,0.379955
0.150829,0.380101
0.149867,0.380244
0.148903,0.380386
0.147939,0.380524
0.146974,0.380661
0.146008,0.380795
0.145041,0.380926
0.144073,0.381056
0.143104,0.381183
0.142135,0.381307
0.141164,0.38143
0.140193,0.38155
0.13922,0.381667
0.138247,0.381782
0.137273,0.381895
0.136298,0.382005
0.135323,0.382113
0.134346,0.382219
0.133369,0.382322
0.13239,0.382423
0.131411,0.382521
0.130431,0.382617
0.129451,0.38271
0.128469,0.382801
0.127487,0.38289
0.126503,0.382976
0.125519,0.38306
0.124535,0.383141
0.123549,0.38322
0.122562,0.383296
0.121575,0.38337
0.120587,0.383442
0.119599,0.383511
0.118609,0.383577
0.117619,0.383641
0.116628,0.383702
0.115636,0.383761
0.114643,0.383818
0.11365,0.383872
0.112656,0.383923
0.111661,0.383972
0.110665,0.384019
0.109669,0.384063
0.108672,0.384104
0.107674,0.384143
0.106676,0.384179
0.105677,0.384213
0.104677,0.384244
0.103677,0.384273
0.102675,0.384299
0.101673,0.384322
0.100671,0.384343
0.0996676,0.384362
0.0986637,0.384378
0.0976591,0.384391
0.0966538,0.384402
0.0956479,0.38441
0.0946414,0.384415
0.0936342,0.384418
0.0926264,0.384418
0.091618,0.384416
0.0906089,0.384411
0.0895992,0.384403
0.0885889,0.384393
0.087578,0.38438
0.0865665,0.384365
0.0855544,0.384347
0.0845417,0.384326
0.0835284,0.384302
0.0825146,0.384276
0.0815002,0.384248
0.0804852,0.384216
0.0794696,0.384182
0.0784535,0.384145
0.0774369,0.384106
0.0764197,0.384064
0.075402,0.384019
0.0743837,0.383972
0.073365,0.383921
0.0723457,0.383869
0.0713259,0.383813
0.0703056,0.383755
0.0692848,0.383694
0.0682635,0.38363
0.0672417,0.383563
0.0662194,0.383494
0.0651967,0.383422
0.0641735,0.383347
0.0631498,0.38327
0.0621257,0.38319
0.0611011,0.383107
0.0600761,0.383021
0.0590507,0.382933
0.0580248,0.382841
0.0569986,0.382747
0.0559719,0.38265
0.0549448,0.382551
0.0539173,0.382448
0.0528894,0.382343
0.0518611,0.382235
0.0508324,0.382124
0.0498034,0.382011
0.0487739,0.381894
0.0477442,0.381775
0.0467141,0.381653
0.0456836,0.381528
0.0446528,0.3814
0.0436216,0.38127
0.0425902,0.381136
0.0415584,0.381
0.0405263,0.380861
0.0394939,0.380719
0.0384612,0.380574
0.0374282,0.380426
0.0363949,0.380276
0.0353614,0.380122
0.0343276,0.379966
0.0332935,0.379807
0.0322592,0.379645
0.0312246,0.37948
0.0301898,0.379312
0.0291547,0.379141
0.0281195,0.378967
0.027084,0.37879
0.0260483,0.378611
0.0250124,0.378428
0.0239763,0.378243
0.02294,0.378055
0.0219036,0.377863
0.020867,0.377669
0.0198302,0.377472
0.0187932,0.377272
0.0177561,0.377069
0.0167189,0.376862
0.0156816,0.376653
0.0146441,0.376441
0.0136065,0.376226
0.0125688,0.376009
0.011531,0.375788
0.0104931,0.375564
0.00945509,0.375337
0.00841703,0.375107
0.00737891,0.374874
0.00634073,0.374638
0.00530249,0.374399
0.00426422,0.374157
0.0032259,0.373912
0.00218757,0.373664
0.00114921,0.373413
0.000110847,0.373159
-0.000927519,0.372902
-0.00196588,0.372642
-0.00300422,0.372378
-0.00404254,0.372112
-0.00508082,0.371843
-0.00611906,0.37157
