omega,amp_a0.01,amp_a0.10,amp_a0.50,amp_a1.00
0.100000000000,1.002261421315,1.010048467023,1.008814220923,1.004986105008
0.110000000000,1.001617832220,1.012184180721,1.010681657422,1.006029464842
0.120000000000,1.017822383685,1.014533926073,1.012733935592,1.007171222566
0.130000000000,1.011173342272,1.017099798505,1.014972655486,1.008410473831
0.140000000000,1.030645093669,1.019885840389,1.017399752346,1.009746627829
0.150000000000,1.024667030633,1.022895553841,1.020017740139,1.011179404962
0.160000000000,1.030616130402,1.026131606047,1.022828347637,1.012707900562
0.170000000000,1.030287983218,1.029599295740,1.025834864563,1.014331871350
0.180000000000,1.037576242399,1.033302955922,1.029038723850,1.016049260405
0.190000000000,1.040358020262,1.037246471614,1.032445691160,1.017862347309
0.200000000000,1.042267332007,1.041436406948,1.036056339658,1.019766416642
0.210000000000,1.045207399094,1.045877412501,1.039875311097,1.021763715414
0.220000000000,1.052561442936,1.050575660145,1.043905288920,1.023851052139
0.230000000000,1.055054450245,1.055537330577,1.048151184405,1.026027263594
0.240000000000,1.065124781844,1.060770476732,1.052615109606,1.028292482052
0.250000000000,1.080315912143,1.066280387874,1.057302783497,1.030644476573
0.260000000000,1.075718143976,1.072076910575,1.062219263086,1.033081645264
0.270000000000,1.080201157148,1.078166999817,1.067367779871,1.035600838520
0.280000000000,1.086572867177,1.084559855689,1.072753282271,1.038202070596
0.290000000000,1.093514547651,1.091266240221,1.078382901299,1.040883633589
0.300000000000,1.098039474928,1.098294262640,1.084261233801,1.043640073172
0.310000000000,1.108147749859,1.105655108178,1.090391562147,1.046472423190
0.320000000000,1.116785163213,1.113362919001,1.096781915940,1.049377991080
0.330000000000,1.124054702935,1.121427629606,1.103439091320,1.052352083967
0.340000000000,1.137720483426,1.129862393705,1.110368913806,1.055392125486
0.350000000000,1.142459867201,1.138693489985,1.117590961666,1.058483282796
0.360000000000,1.150385610732,1.147908907857,1.125083617094,1.061650942076
0.370000000000,1.159421202162,1.157537290130,1.132867727243,1.064873720053
0.380000000000,1.169379504228,1.167600916098,1.140959731354,1.068143413755
0.390000000000,1.180631118574,1.178120900002,1.149362162568,1.071459122066
0.400000000000,1.190609198077,1.189107607738,1.158088051418,1.074812126056
0.410000000000,1.202124152798,1.200592354380,1.167136978779,1.078214467257
0.420000000000,1.213502886431,1.212584641658,1.176516860477,1.081636219820
0.430000000000,1.227687030918,1.225118265369,1.186242555831,1.085089537221
0.440000000000,1.240646364475,1.238213202553,1.196331947579,1.088555675071
0.450000000000,1.252788270562,1.251901680029,1.206784463306,1.092035230898
0.460000000000,1.269120102895,1.266208076171,1.217606197667,1.095529208681
0.470000000000,1.285924632429,1.281171799127,1.228818544820,1.099012838278
0.480000000000,1.296996467013,1.296826493082,1.240429330028,1.102486329982
0.490000000000,1.307544505521,1.313203703077,1.252448664486,1.105940226046
0.500000000000,1.323984605506,1.330345363654,1.264876475703,1.109372863657
0.510000000000,1.346152437471,1.348298480565,1.277743480506,1.112764908615
0.520000000000,1.369324356183,1.367107560077,1.291045856146,1.116102383872
0.530000000000,1.392208530219,1.386824777140,1.304806728292,1.119398352853
0.540000000000,1.413268246354,1.407505838642,1.319029125851,1.122622130134
0.550000000000,1.434556844642,1.429216093670,1.333721596865,1.125769511191
0.560000000000,1.456028703375,1.452005820377,1.348911318022,1.128809110974
0.570000000000,1.479600518603,1.475956148287,1.364592085755,1.131756179928
