t,x
0.000000000000,1.000000000000
0.050000000000,0.998773770288
0.100000000000,0.995191843220
0.150000000000,0.989402874791
0.200000000000,0.981559602514
0.250000000000,0.971818106701
0.300000000000,0.960337069796
0.350000000000,0.947277036497
0.400000000000,0.932799677395
0.450000000000,0.917067058800
0.500000000000,0.900240921410
0.550000000000,0.882481970408
0.600000000000,0.863949179520
0.650000000000,0.844799111488
0.700000000000,0.825185257355
0.750000000000,0.805257396855
0.800000000000,0.785160982132
0.850000000000,0.765036546881
0.900000000000,0.745019142941
0.950000000000,0.725237806224
1.000000000000,0.705815053769
1.050000000000,0.686866413567
1.100000000000,0.668499988714
1.150000000000,0.650816057257
1.200000000000,0.633906709032
1.250000000000,0.617855520594
1.300000000000,0.602737269229
1.350000000000,0.588617686892
1.400000000000,0.575553254744
1.450000000000,0.563591038843
1.500000000000,0.552768567368
1.550000000000,0.543113749619
1.600000000000,0.534644836878
1.650000000000,0.527370425063
1.700000000000,0.521289498965
1.750000000000,0.516391517708
1.800000000000,0.512656540900
1.850000000000,0.510055394849
1.900000000000,0.508549878016
1.950000000000,0.508093004791
2.000000000000,0.508629286503
2.050000000000,0.510095048461
2.100000000000,0.512418781708
2.150000000000,0.515521528014
2.200000000000,0.519317296551
2.250000000000,0.523713510574
2.300000000000,0.528611482300
2.350000000000,0.533906914122
2.400000000000,0.539490424177
2.450000000000,0.545248094189
2.500000000000,0.551062037477
2.550000000000,0.556810984887
2.600000000000,0.562370886408
2.650000000000,0.567615526110
2.700000000000,0.572417148064
2.750000000000,0.576647090806
2.800000000000,0.580176427924
2.850000000000,0.582876612284
2.900000000000,0.584620121436
2.950000000000,0.585281101709
3.000000000000,0.584736008514
3.050000000000,0.582864240408
3.100000000000,0.579548764442
3.150000000000,0.574676730414
3.200000000000,0.568140071621
3.250000000000,0.559836089792
3.300000000000,0.549668021912
3.350000000000,0.537545586732
3.400000000000,0.523385508808
3.450000000000,0.507112017989
3.500000000000,0.488657322385
3.550000000000,0.467962052890
3.600000000000,0.444975677482
3.650000000000,0.419656883581
3.700000000000,0.391973926884
3.750000000000,0.361904945204
3.800000000000,0.329438235942
3.850000000000,0.294572495976
3.900000000000,0.257317022852
3.950000000000,0.217691876314
4.000000000000,0.175727999327
4.050000000000,0.131467297914
4.100000000000,0.084962679233
4.150000000000,0.036278047505
4.200000000000,-0.014511742489
4.250000000000,-0.067320974446
4.300000000000,-0.122053202092
4.350000000000,-0.178601423063
4.400000000000,-0.236848294791
4.450000000000,-0.296666391920
4.500000000000,-0.357918504639
4.550000000000,-0.420457977159
4.600000000000,-0.484129085443
4.650000000000,-0.548767453124
4.700000000000,-0.614200504453
4.750000000000,-0.680247952947
4.800000000000,-0.746722324297
4.850000000000,-0.813429511978
4.900000000000,-0.880169363861
4.950000000000,-0.946736298033
5.000000000000,-1.012919945912
5.050000000000,-1.078505820647
5.100000000000,-1.143276008682
5.150000000000,-1.207009882295
5.200000000000,-1.269484830819
5.250000000000,-1.330477008191
5.300000000000,-1.389762094391
5.350000000000,-1.447116068285
5.400000000000,-1.502315989338
5.450000000000,-1.555140785581
5.500000000000,-1.605372045243
5.550000000000,-1.652794809360
5.600000000000,-1.697198362707
5.650000000000,-1.738377020365
5.700000000000,-1.776130907224
5.750000000000,-1.810266727758
5.800000000000,-1.840598523388
5.850000000000,-1.866948414795
5.900000000000,-1.889147326579
5.950000000000,-1.907035691679
6.000000000000,-1.920464133047
6.050000000000,-1.929294120094
6.100000000000,-1.933398597529
6.150000000000,-1.932662584249
6.200000000000,-1.926983740047
6.250000000000,-1.916272897980
6.300000000000,-1.900454560331
6.350000000000,-1.879467356230
6.400000000000,-1.853264459067
6.450000000000,-1.821813961980
6.500000000000,-1.785099209815
6.550000000000,-1.743119086073
6.600000000000,-1.695888253505
6.650000000000,-1.643437347153
6.700000000000,-1.585813118768
6.750000000000,-1.523078531694
6.800000000000,-1.455312805463
6.850000000000,-1.382611409474
6.900000000000,-1.305086005322
6.950000000000,-1.222864337468
7.000000000000,-1.136090072135
7.050000000000,-1.044922584443
7.100000000000,-0.949536693982
7.150000000000,-0.850122349187
7.200000000000,-0.746884261024
7.250000000000,-0.640041486669
7.300000000000,-0.529826964033
7.350000000000,-0.416486998122
7.400000000000,-0.300280700397
7.450000000000,-0.181479382453
7.500000000000,-0.060365905471
7.550000000000,0.062766012932
7.600000000000,0.187612532717
7.650000000000,0.313860464382
7.700000000000,0.441188078860
7.750000000000,0.569265952187
7.800000000000,0.697757842661
7.850000000000,0.826321598104
7.900000000000,0.954610090713
7.950000000000,1.082272176903
8.000000000000,1.208953679426
8.050000000000,1.334298388994
8.100000000000,1.457949082524
8.150000000000,1.579548555064
8.200000000000,1.698740662412
8.250000000000,1.815171371358
8.300000000000,1.928489814453
8.350000000000,2.038349346166
8.400000000000,2.144408597274
8.450000000000,2.246332524294
8.500000000000,2.343793450778
8.550000000000,2.436472097282
8.600000000000,2.524058596830
8.650000000000,2.606253492738
8.700000000000,2.682768715655
8.750000000000,2.753328536752
8.800000000000,2.817670494031
8.850000000000,2.875546288766
8.900000000000,2.926722649195
8.950000000000,2.970982158617
9.000000000000,3.008124045164
9.050000000000,3.037964930608
9.100000000000,3.060339535645
9.150000000000,3.075101339253
9.200000000000,3.082123189783
9.250000000000,3.081297865628
9.300000000000,3.072538583408
9.350000000000,3.055779451758
9.400000000000,3.030975868975
9.450000000000,2.998104862906
9.500000000000,2.957165371629
9.550000000000,2.908178463652
9.600000000000,2.851187496508
9.650000000000,2.786258212815
